date,AAPL,Return,42d,252d,Mov_Vol 
2002-09-20,7.43,0.019022312709101076,7.445952380952367,10.13619047619041,-0.003383599421458591
2002-09-23,7.43,0.0,7.441904761904747,10.13448412698406,-0.003544093976643725
2002-09-24,7.32,-0.014915530756447519,7.44523809523808,10.130873015872949,-0.007381374446502654
2002-09-25,7.47,0.020284671171505717,7.4523809523809375,10.129682539682472,-0.0024804022629389736
2002-09-26,7.35,-0.016194685919980606,7.448571428571414,10.128809523809455,-0.0018578688846827038
2002-09-27,7.36,0.0013596195160396518,7.439999999999985,10.127222222222153,-0.0033337979293455496
2002-09-30,7.25,-0.0150584638742015,7.430952380952367,10.125198412698342,-0.004282391989769059
2002-10-01,7.26,0.0013783599701213596,7.427619047619034,10.123174603174535,-0.00427668914931223
2002-10-02,7.09,-0.02369448829266855,7.424523809523794,10.121428571428503,-0.0037928546682856963
2002-10-03,7.15,0.008427016161880142,7.428333333333318,10.120079365079297,-0.002926480695604931
2002-10-04,7.01,-0.019774655659417658,7.419761904761889,10.116388888888823,-0.007847523542844454
2002-10-07,6.89,-0.017266616020931533,7.404999999999983,10.111706349206282,-0.00995825499516818
2002-10-08,6.84,-0.007283353391108046,7.385714285714269,10.106706349206283,-0.010650807663898277
2002-10-09,6.8,-0.005865119452398134,7.369047619047603,10.101944444444378,-0.010237730256941711
2002-10-10,7.05,0.036105004642116356,7.3585714285714126,10.096547619047554,-0.011111768543966845
2002-10-11,7.26,0.02935221201252737,7.357619047619031,10.090158730158667,-0.012617396971964404
2002-10-14,7.39,0.01774790612340559,7.352857142857126,10.083730158730093,-0.012485888591218474
2002-10-15,7.58,0.025385464694169833,7.34761904761903,10.078134920634856,-0.01074676772755104
2002-10-16,7.28,-0.040382337445685694,7.332619047619029,10.071269841269777,-0.013430602775603994
2002-10-17,7.05,-0.03210324538441743,7.310238095238077,10.065555555555493,-0.011708166644499203
2002-10-18,7.17,0.01687803778735173,7.291666666666649,10.058293650793589,-0.01431974613877715
2002-10-21,7.28,0.015225207597065596,7.27309523809522,10.050873015872954,-0.014401896361330265
2002-10-22,7.35,0.009569451016150672,7.257857142857125,10.042301587301523,-0.01623001893986802
2002-10-23,7.44,0.012170535620255335,7.247857142857124,10.035833333333269,-0.012479216171576685
2002-10-24,7.34,-0.013532006218576385,7.237857142857124,10.027341269841207,-0.01611674993605502
2002-10-25,7.71,0.049179344948813826,7.24452380952379,10.019841269841207,-0.01381113120128773
2002-10-28,7.8,0.01160554612030789,7.2552380952380755,10.013730158730096,-0.011350431777902304
2002-10-29,7.72,-0.010309369658861213,7.2640476190475995,10.009404761904698,-0.008319821755926873
2002-10-30,7.99,0.03437639574149862,7.278571428571409,10.006190476190412,-0.006082768834077319
